Medium,Messtag,Wuchshöhe,Matrikelnummer
Acidic,5,9.0,2139315
Acidic,5,15.0,2139315
Acidic,5,16.0,2139315
Acidic,5,16.333333333333332,2139315
Acidic,5,17.333333333333332,2139315
Acidic,5,18.0,2139315
Acidic,5,25.333333333333332,2139315
Acidic,5,28.333333333333332,2139315
Acidic,5,28.666666666666668,2139315
Acidic,5,37.0,2139315
Acidic,5,37.666666666666664,2139315
Acidic,5,38.0,2139315
Acidic,5,39.333333333333336,2139315
Acidic,5,40.666666666666664,2139315
Acidic,5,45.333333333333336,2139315
Acidic,6,0.0,2139315
Acidic,6,0.0,2139315
Acidic,6,0.0,2139315
Acidic,6,16.0,2139315
Acidic,6,20.5,2139315
Acidic,6,22.5,2139315
Acidic,6,22.5,2139315
Acidic,6,23.5,2139315
Acidic,6,30.0,2139315
Acidic,6,31.5,2139315
Acidic,6,32.5,2139315
Acidic,6,33.0,2139315
Acidic,6,38.5,2139315
Acidic,6,42.0,2139315
Acidic,6,43.0,2139315
Acidic,6,45.5,2139315
Acidic,6,49.0,2139315
Acidic,6,49.0,2139315
Acidic,6,55.5,2139315
Acidic,6,56.0,2139315
Acidic,7,0.0,2139315
Acidic,7,0.0,2139315
Acidic,7,0.0,2139315
Acidic,7,27.5,2139315
Acidic,7,33.0,2139315
Acidic,7,33.5,2139315
Acidic,7,35.5,2139315
Acidic,7,36.0,2139315
Acidic,7,37.0,2139315
Acidic,7,39.5,2139315
Acidic,7,42.0,2139315
Acidic,7,42.0,2139315
Acidic,7,47.0,2139315
Acidic,7,49.5,2139315
Acidic,7,49.5,2139315
Acidic,7,56.5,2139315
Acidic,7,59.0,2139315
Acidic,7,60.0,2139315
Acidic,7,62.0,2139315
Acidic,7,66.5,2139315
Acidic,8,0.0,2139315
Acidic,8,0.0,2139315
Acidic,8,1.0,2139315
Acidic,8,36.333333333333336,2139315
Acidic,8,37.0,2139315
Acidic,8,42.666666666666664,2139315
Acidic,8,43.333333333333336,2139315
Acidic,8,45.333333333333336,2139315
Acidic,8,45.666666666666664,2139315
Acidic,8,47.0,2139315
Acidic,8,47.333333333333336,2139315
Acidic,8,47.666666666666664,2139315
Acidic,8,55.0,2139315
Acidic,8,55.0,2139315
Acidic,8,55.0,2139315
Acidic,8,63.666666666666664,2139315
Acidic,8,63.666666666666664,2139315
Acidic,8,64.33333333333333,2139315
Acidic,8,65.33333333333333,2139315
Acidic,8,74.33333333333333,2139315
Acidic,9,0.0,2139315
Acidic,9,0.0,2139315
Acidic,9,1.0,2139315
Acidic,9,39.0,2139315
Acidic,9,44.0,2139315
Acidic,9,44.0,2139315
Acidic,9,46.0,2139315
Acidic,9,47.0,2139315
Acidic,9,51.333333333333336,2139315
Acidic,9,51.666666666666664,2139315
Acidic,9,57.0,2139315
Acidic,9,57.0,2139315
Acidic,9,59.0,2139315
Acidic,9,59.333333333333336,2139315
Acidic,9,59.666666666666664,2139315
Acidic,9,67.0,2139315
Acidic,9,68.66666666666667,2139315
Acidic,9,68.66666666666667,2139315
Acidic,9,71.0,2139315
Acidic,9,83.0,2139315
Acidic,10,0.0,2139315
Acidic,10,0.0,2139315
Acidic,10,2.0,2139315
Acidic,10,39.0,2139315
Acidic,10,44.0,2139315
Acidic,10,48.0,2139315
Acidic,10,48.0,2139315
Acidic,10,53.0,2139315
Acidic,10,54.0,2139315
Acidic,10,55.5,2139315
Acidic,10,57.0,2139315
Acidic,10,60.0,2139315
Acidic,10,60.0,2139315
Acidic,10,63.0,2139315
Acidic,10,69.0,2139315
Acidic,10,69.5,2139315
Acidic,10,71.0,2139315
Acidic,10,71.0,2139315
Acidic,10,71.0,2139315
Acidic,10,84.0,2139315
Acidic,11,0.0,2139315
Acidic,11,0.0,2139315
Acidic,11,2.0,2139315
Acidic,11,39.0,2139315
Acidic,11,44.0,2139315
Acidic,11,49.0,2139315
Acidic,11,50.0,2139315
Acidic,11,54.0,2139315
Acidic,11,55.0,2139315
Acidic,11,57.0,2139315
Acidic,11,57.0,2139315
Acidic,11,60.0,2139315
Acidic,11,60.0,2139315
Acidic,11,63.0,2139315
Acidic,11,69.0,2139315
Acidic,11,71.0,2139315
Acidic,11,71.0,2139315
Acidic,11,72.0,2139315
Acidic,11,74.0,2139315
Acidic,11,84.0,2139315
Acidic,12,0.0,2139315
Acidic,12,0.0,2139315
Acidic,12,2.0,2139315
Acidic,12,39.0,2139315
Acidic,12,44.0,2139315
Acidic,12,49.0,2139315
Acidic,12,50.0,2139315
Acidic,12,54.0,2139315
Acidic,12,55.0,2139315
Acidic,12,57.0,2139315
Acidic,12,57.0,2139315
Acidic,12,60.0,2139315
Acidic,12,62.0,2139315
Acidic,12,63.0,2139315
Acidic,12,69.0,2139315
Acidic,12,71.0,2139315
Acidic,12,71.0,2139315
Acidic,12,73.0,2139315
Acidic,12,76.0,2139315
Acidic,12,84.0,2139315
Acidic,13,0.0,2139315
Acidic,13,0.0,2139315
Acidic,13,2.0,2139315
Acidic,13,39.0,2139315
Acidic,13,44.0,2139315
Acidic,13,49.0,2139315
Acidic,13,50.0,2139315
Acidic,13,54.0,2139315
Acidic,13,55.0,2139315
Acidic,13,57.0,2139315
Acidic,13,57.0,2139315
Acidic,13,60.0,2139315
Acidic,13,62.0,2139315
Acidic,13,63.0,2139315
Acidic,13,69.0,2139315
Acidic,13,71.0,2139315
Acidic,13,71.0,2139315
Acidic,13,73.0,2139315
Acidic,13,76.0,2139315
Acidic,13,84.0,2139315
Acidic,14,0.0,2139315
Acidic,14,0.0,2139315
Acidic,14,2.0,2139315
Acidic,14,39.0,2139315
Acidic,14,44.0,2139315
Acidic,14,49.0,2139315
Acidic,14,50.0,2139315
Acidic,14,54.0,2139315
Acidic,14,55.0,2139315
Acidic,14,57.0,2139315
Acidic,14,57.0,2139315
Acidic,14,60.0,2139315
Acidic,14,62.0,2139315
Acidic,14,63.0,2139315
Acidic,14,69.0,2139315
Acidic,14,71.0,2139315
Acidic,14,71.0,2139315
Acidic,14,73.0,2139315
Acidic,14,76.0,2139315
Acidic,14,84.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,1,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,2,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.0,2139315
Salty,3,0.3333333333333333,2139315
Salty,3,0.6666666666666666,2139315
Salty,3,1.0,2139315
Salty,3,1.0,2139315
Salty,3,1.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
